epoch,train_loss,train_acc,train_kappa,train_auc,val_loss,val_acc,val_kappa,val_auc,learning_rate
1,1.6476142630541235,0.29588457899716175,0.15112356273384275,0.6204465743586275,1.5818092752905453,0.34278959810874704,0.4091310813117789,0.6879883994289945,0.001
2,1.5375136038414519,0.38789025543992434,0.42864899005743007,0.6931047549424729,1.5053680363823385,0.39621749408983453,0.47526818650892666,0.7194834134893804,0.001
3,1.4820777625965893,0.40704824976348153,0.47130423154044787,0.7226447489972201,1.4688035495140974,0.40803782505910163,0.5086861091514441,0.7380677692492554,0.001
4,1.4372748777382356,0.43105487228003786,0.5107762128314828,0.7416915475312652,1.4470461642040926,0.4335697399527187,0.4636772800229868,0.7524320354832882,0.001
5,1.4219514445254677,0.44157994323557237,0.5205862537523758,0.7488943969877657,1.435885818565593,0.42789598108747046,0.44165778388394195,0.7618790987653884,0.001
6,1.3944414504488607,0.4534058656575213,0.5535735461480711,0.7632101816015572,1.4053560670684366,0.4307328605200946,0.5944940301432714,0.7755293492767487,0.001
7,1.370497773464461,0.4581362346263009,0.5655401734613444,0.7720231528220659,1.3811859243056352,0.4401891252955083,0.6124538896529522,0.7798773192017809,0.001
8,1.3587377349236853,0.4641674550614948,0.5812868624131429,0.7768545716869525,1.3390250100808985,0.4690307328605201,0.6117789733052068,0.7884343869918097,0.001
9,1.3422363606610692,0.46795175023651847,0.5816672660927654,0.781968402530512,1.3390800987972933,0.46713947990543736,0.5754240368107936,0.7911352656858043,0.001
10,1.339534520206595,0.47090823084200567,0.5979771433553616,0.7844555986899099,1.3186857489978565,0.4794326241134752,0.6376808185631082,0.796378760758271,0.001
11,1.322603752738551,0.4707899716177862,0.6042108501440047,0.7888792948958581,1.307387814802282,0.48321513002364064,0.6523819481218323,0.799993078375199,0.001
12,1.316709348133632,0.47776726584673607,0.6099239764820906,0.7916857356404595,1.3071938051896936,0.4817966903073286,0.6450454649143769,0.8025919411674777,0.001
13,1.3085962085795582,0.4814333017975402,0.614855253790732,0.7945603903676254,1.3044580887345707,0.47754137115839246,0.651136508225787,0.8039195090095258,0.001
14,1.3048111254111268,0.4789498580889309,0.6086457587540013,0.796183479418938,1.3676230977563297,0.45673758865248226,0.5497957150593613,0.7973205380229644,0.001
15,1.3019727450564391,0.48226111636707664,0.6132286136134749,0.7968564338749778,1.2848000561489779,0.4884160756501182,0.6703826613781037,0.8070559152062516,0.001
16,1.29722393544993,0.4900662251655629,0.6213252298090884,0.7991304529876357,1.2783131003379822,0.49929078014184397,0.6567853141825922,0.8096423686996795,0.001
17,1.2930096692608712,0.48509933774834435,0.6183690261453223,0.8021569595138046,1.2889503240585327,0.484160756501182,0.6415301694531761,0.809034793450485,0.001
18,1.2935061553367098,0.4869914853358562,0.6265011137199199,0.8007201325811194,1.3002086737576652,0.48605200945626476,0.6599076510768808,0.8087296582114463,0.001
19,1.282063769218617,0.4921948912015137,0.6299251832414889,0.8054082705306221,1.277846708017237,0.4950354609929078,0.6815291697421231,0.813109847833184,0.001
20,1.2808560397391928,0.48923841059602646,0.6279671999822443,0.8033719052622991,1.2710102621246786,0.4921985815602837,0.6775898202408914,0.8142788394646177,0.001
21,1.2797870272980596,0.49550614947965943,0.6310765742557534,0.8056905636884463,1.2671651454532848,0.4983451536643026,0.660183865234541,0.8149976409720682,0.001
22,1.2701581671721953,0.494678334910123,0.6377272575376204,0.8088251233340135,1.255336112835828,0.5035460992907801,0.6757935996870272,0.8152283239495338,0.001
23,1.268189025104494,0.5003547776726585,0.6335597053613914,0.809221515397249,1.2617090659983017,0.49692671394799054,0.6600171427237836,0.8152225200676174,0.001
24,1.2653274643690067,0.4908940397350993,0.6305860027112177,0.8093516377483887,1.2531014715923983,0.5044917257683215,0.6784393686900236,0.818345677835273,0.001
25,1.2599872341729645,0.506267738883633,0.6438472619837128,0.8116771026633639,1.247158590485068,0.502127659574468,0.6690822869356132,0.8192961383888363,0.001
26,1.2583721405581425,0.4988174077578051,0.637532127380328,0.8112177743860357,1.2531437418040108,0.500709219858156,0.6595041212355057,0.8176869084956659,0.001
27,1.250151144830804,0.5014191106906338,0.6490066144525197,0.8136069347516667,1.2456554595161886,0.49929078014184397,0.6707307312245503,0.8196721014780207,0.001
28,1.2527168836808742,0.5022469252601703,0.6420965404502771,0.8129407935388319,1.2388479849871468,0.5125295508274231,0.6755998107482821,0.8225663982441774,0.001
29,1.2563591957988596,0.5026017029328288,0.6396201148978762,0.8128901348157375,1.2350460781770594,0.5115839243498818,0.6851405165260895,0.8230524835686902,0.001
30,1.246653219811002,0.5079233680227058,0.6523694115433836,0.8158297465512695,1.2526513092658098,0.4988179669030733,0.6656704282294269,0.8208276245196577,0.001
31,1.2458214024852092,0.4991721854304636,0.6524366115373792,0.8158880062385125,1.2335851683336145,0.5153664302600472,0.6915691540535194,0.8234602869972373,0.001
32,1.2412934634918558,0.5016556291390728,0.649241047087964,0.8176772875643419,1.2456233045634102,0.5125295508274231,0.6594914160571791,0.8222185391769946,0.001
33,1.2362275392489326,0.5074503311258278,0.6528017831332491,0.8193554279042786,1.2342141796560848,0.5078014184397163,0.6716273369975828,0.8234617894205898,0.001
34,1.2447367010259986,0.5046121097445601,0.6546403950075941,0.8173368327260354,1.235064702875474,0.5087470449172576,0.6942131575789398,0.8256752172608217,0.001
35,1.2352016052805392,0.5075685903500473,0.6512520275488498,0.819334336841908,1.2809913859647863,0.4846335697399527,0.6188552469835662,0.8191572972584676,0.001
36,1.2431651129758448,0.5024834437086093,0.6552751451643554,0.8150180696116163,1.224305345731623,0.5177304964539007,0.6987454685582165,0.8247544892553064,0.001
37,1.2329725851689963,0.5118259224219489,0.6545163408976233,0.8205352545863455,1.239747075473561,0.5035460992907801,0.6630445357915988,0.8239139518907211,0.001
38,1.2385361517282356,0.5102885525070956,0.6563898096907645,0.8178370699853551,1.2528426787432503,0.4940898345153664,0.6375169419600345,0.8239989582034449,0.001
39,1.2360345326868214,0.510879848628193,0.6492129733257902,0.817685061856915,1.2208733874208786,0.5078014184397163,0.6814716708673485,0.8262466052887697,0.001
40,1.2294838787021494,0.515964995269631,0.6628221343622469,0.8222736781860481,1.238412502933951,0.5059101654846335,0.6767085007937867,0.8260341094037856,0.001
41,1.2428787023501289,0.5112346263008515,0.6582031016474467,0.8183102060320601,1.2249011888223535,0.5120567375886524,0.6708932727336436,0.8260604516750055,0.001
42,1.2276317894010615,0.5150189214758751,0.6548922801692133,0.8216986865589012,1.2286988005918615,0.5068557919621749,0.6956092106208297,0.8264730178000971,0.001
43,1.2201372447766756,0.5245979186376537,0.6724898120287575,0.8251389019324441,1.2091825814808117,0.5167848699763593,0.6993141624558026,0.8290663668078175,0.001
44,1.2164830363782726,0.5183301797540208,0.6705114337635729,0.8249811221523097,1.2220246581470264,0.5111111111111111,0.69134026950453,0.8278100406887803,0.001
45,1.2141119071415492,0.5229422894985809,0.669170781058962,0.8256865369622374,1.2017497069695418,0.5210401891252955,0.6865006020703504,0.831057103286684,0.001
46,1.2169172270853716,0.5192762535477767,0.6747939954437692,0.8247810820840358,1.2041653885560877,0.5148936170212766,0.679423329782306,0.8308333492606145,0.001
47,1.207923582173828,0.5195127719962157,0.6661927449508349,0.826457728523422,1.1970143773976494,0.526241134751773,0.7041224595528136,0.8319894106574567,0.001
48,1.2085578567103337,0.5192762535477767,0.6701231612531107,0.8272836311537217,1.1986784128581776,0.5215130023640662,0.7049533182175388,0.8323207183362579,0.001
49,1.2064468923367953,0.5234153263954588,0.6758301608421227,0.8281200487382332,1.203365378520068,0.5276595744680851,0.7032265052223023,0.8316308552223001,0.001
50,1.2056416497194677,0.5242431409649952,0.6710791817213237,0.8288036090409855,1.228193328661077,0.5073286052009456,0.6567385351710807,0.8286167025522366,0.001
